N	Time	Time2	Time3	Time4	Avg_t
1	3.999999989900971e-06	2.9999998787388904e-06	3.000000106112566e-06	3.000000106112566e-06	3.2500000202162482e-06
10	7.000000096013537e-06	7.000000096013537e-06	7.000000096013537e-06	7.000000096013537e-06	7.000000096013537e-06
100	5.0999999984924216e-05	4.799999987881165e-05	4.9000000217347406e-05	4.799999987881165e-05	4.899999998997373e-05
1000	0.0005009999999856518	0.0004619999999704305	0.000477000000046246	0.00048199999991993536	0.0004804999999805659
10000	0.004918999999972584	0.004637000000002445	0.004794000000401866	0.004829999999856227	0.00479500000005828
100000	0.050020000000131404	0.056696999999985565	0.055028999999649386	0.046295999999983906	0.052010499999937565
1000000	0.4995369999999184	0.4579149999999572	0.45383700000002136	0.4563349999998536	0.46690599999993765
10000000	4.897193000000016	4.658108000000084	4.6236879999996745	4.664192000000185	4.71079524999999
100000000	60.38244699999996	56.97948599999995	56.76051400000006	57.07090900000003	57.798339
1000000000	680.397947	684.5156	661.3584650000003	661.2376990000002	671.8774277500002
